"ShiftDate","Name","StartTime","EndTime","TotalWorkingHours"
"20250602","6330_VNbc_1stShift",06:00:00,14:00:00,8.00000000
"20250602","6330_VNbc_2ndShift",14:00:00,22:00:00,8.00000000
"20250602","6330_VNbc_3rdShift",22:00:00,06:00:00,8.00000000
