"FacilityId","ProduceDate","ShiftDefinitionShift","SortMold","SortOrderList","ZZSTYLCODE","ZZGENDER","ZZPARTNO","ZZATCOLR","ZZCOLORCODE","ProductSize","MoldNo","MoldInventory","SumBodySizeNeed","SumRequiredUpperMoldQuantity","SteerRequiredUpperMoldQuantity","ActualRequiredUpperMoldQuantity"
2210030000000000001,"20250602","6330_VNbc_3rdShift",104,"108,127,544",N,K,H0001,CORE BLACK/FTWR WHITE/GREY THREE F17/SCARLET/NATURAL,A0QM/01F7/AA2T/A091/NA02,UK_4-,"37610",1.00000000,0.00000000,2.00000000,2.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",105,"109",N,M,H0001,TAUPE OXIDE S21/50%TAUPE OXIDE S21,ADW9/50%ADW9,UK_7,"64986",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",106,"110,209",N,W,H0001,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,UK_4,"66331",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",107,"111,259",N,M,H0001,DASH GREY S20/90%DASH GREY S20,ADAN/90%ADAN,UK_11,"64986",2.00000000,18.00000000,2.00000000,2.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",108,"114",N,W,H0001,TECH INDIGO S20,ADAM,UK_13-,"66680",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",109,"115,378",NA,W,H0001,OFF WHITE/GUM5,"08S1/27F0",UK_6,"19383",13.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",110,"116",N,W,H0001,FTWR WHITE/75%FTWR WHITE,"01F7/75%01F7",UK_9-,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",111,"117,399",N,M,H0001,CORE BLACK/GREY THREE F17/COLLEGIATE GOLD,A0QM/AA2T/06F0,UK_8-,"61023",4.00000000,166.00000000,9.00000000,8.00000000,4.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",112,"118",NA,W,H0001,OFF WHITE/GUM5,"08S1/27F0",UK_7-,"19383",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",113,"119",NA,W,H0001,IVORY S24/CORE BLACK,AF42/A0QM,UK_9,"19383",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
